Options,P-Treatment,N-Treatment,Trial,Stage,Dissolved O2,Greens,Cyanbacteria,Daphnia,Bosmina,Trout
1,1,2,1,Initial,3.5,73,242,15,5,5
1,1,2,1,Result,5.8,137,68,17,6,8
1,1,2,2,Initial,4,44,305,22,5,3
1,1,2,2,Result,5.1,3,211,19,0,7
1,1,2,3,Initial,4.2,127,156,25,3,5
1,1,2,3,Result,5.2,203,50,7,5,8
1 & 2,0,2,1,Initial,2.6,28,337,14,5,5
1 & 2,0,2,1,Result,8,63,30,14,5,8
1 & 2,0,2,2,Initial,4.5,110,169,21,11,5
1 & 2,0,2,2,Result,8.4,58,25,8,9,8
1 & 2,0,2,3,Initial,3.8,30,308,38,2,8
1 & 2,0,2,3,Result,7.7,81,34,7,8,11
1 & 3,1,1,1,Initial,2.5,20,399,13,1,1
1 & 3,1,1,1,Result,5.9,2,165,37,3,0
1 & 3,1,1,2,Initial,3.7,24,341,12,3,9
1 & 3,1,1,2,Result,4,34,258,2,1,11
1 & 3,1,1,3,Initial,4.3,41,231,37,2,4
1 & 3,1,1,3,Result,6.6,58,127,17,2,4
"1, 3 & 4",1,0,1,Initial,4.9,24,299,25,2,7
"1, 3 & 4",1,0,1,Result,4.8,26,201,10,3,6
"1, 3 & 4",1,0,2,Initial,4.3,75,228,8,7,6
"1, 3 & 4",1,0,2,Result,5.6,22,170,10,3,8
"1, 3 & 4",1,0,3,Initial,2.7,3,336,36,2,10
"1, 3 & 4",1,0,3,Result,4.1,6,261,7,3,9
3 & 4,2,0,1,Initial,5.7,80,160,18,10,5
3 & 4,2,0,1,Result,3.6,18,394,4,3,10
3 & 4,2,0,2,Initial,3.7,57,288,21,1,4
3 & 4,2,0,2,Result,4.4,40,276,14,4,8
3 & 4,2,0,3,Initial,3.9,68,249,30,2,6
3 & 4,2,0,3,Result,2.7,20,358,7,4,12
3,2,1,1,Initial,3.1,95,232,12,2,5
3,2,1,1,Result,4.5,89,216,7,7,6
3,2,1,2,Initial,5.4,20,186,49,2,4
3,2,1,2,Result,4.4,38,274,24,1,10
3,2,1,3,Initial,3.4,33,384,13,1,7
3,2,1,3,Result,2.4,62,368,8,4,0
"1, 2, & 3",0,1,1,Initial,4.4,54,187,48,1,6
"1, 2, & 3",0,1,1,Result,8.6,71,12,4,2,13
"1, 2, & 3",0,1,2,Initial,3.3,59,351,10,3,7
"1, 2, & 3",0,1,2,Result,6.6,94,75,3,10,6
"1, 2, & 3",0,1,3,Initial,2.7,6,439,25,1,7
"1, 2, & 3",0,1,3,Result,7.1,70,47,9,9,10
"1, 2, 3, & 4",0,0,1,Initial,3.9,76,323,3,1,7
"1, 2, 3, & 4",0,0,1,Result,6.1,77,74,4,7,5
"1, 2, 3, & 4",0,0,2,Initial,3.9,49,220,36,3,5
"1, 2, 3, & 4",0,0,2,Result,8.6,41,35,4,7,5
"1, 2, 3, & 4",0,0,3,Initial,3.6,17,245,49,4,2
"1, 2, 3, & 4",0,0,3,Result,8.6,72,30,6,2,4
